min_covar,restart,ll_per_obs,n_iter,em_converged,health_ok,kept,is_winner,max_condition_number,min_eigenvalue,N,T,seed,covariance_type
0.01,0,-1.2143869977117658,67,True,True,True,False,55.73519747449981,0.0017282006109368806,10,1000,44,full
0.01,1,-1.2143869949619865,64,True,True,True,False,55.735022725438625,0.0017281875037175474,10,1000,44,full
0.01,2,-1.214386996347819,59,True,True,True,False,55.735111061871386,0.0017281941261909199,10,1000,44,full
0.01,3,-1.2103975872103785,45,True,True,True,True,42.62673045043494,0.001225337488851769,10,1000,44,full
0.01,4,-1.2143868999368543,38,True,True,True,False,55.723114142885834,0.0017273020399797892,10,1000,44,full
0.01,5,-1.2143869966925274,63,True,True,True,False,55.73513299496106,0.0017281957757535463,10,1000,44,full
0.01,6,-1.2143869979889137,61,True,True,True,False,55.73521497615955,0.001728201925701918,10,1000,44,full
0.01,7,-1.2143868980325145,59,True,True,True,False,55.72114790952763,0.001727147981896587,10,1000,44,full
0.01,8,-1.2143869990289584,61,True,True,True,False,55.735280348824894,0.0017282068280666692,10,1000,44,full
0.01,9,-1.2143869969859165,61,True,True,True,False,55.735151581412985,0.0017281971687636646,10,1000,44,full
0.001,0,-1.2143869976506667,67,True,True,True,False,55.735193617564946,0.0017282003216182503,10,1000,44,full
0.001,1,-1.2143870016418346,63,True,True,True,False,55.73544318592684,0.0017282190442363013,10,1000,44,full
0.001,2,-1.2143869964040908,59,True,True,True,False,55.73511463776493,0.001728194394473746,10,1000,44,full
0.001,3,-1.2103975924818047,44,True,True,True,False,42.629398788150176,0.0012254290899035454,10,1000,44,full
0.001,4,-1.2143868990327442,39,True,True,True,False,55.722679377541866,0.0017272675995763005,10,1000,44,full
0.001,5,-1.2143869967374685,63,True,True,True,False,55.73513584557622,0.0017281959895543077,10,1000,44,full
0.001,6,-1.2143869982398223,61,True,True,True,False,55.735230780806425,0.00172820311122436,10,1000,44,full
0.001,7,-1.2143868976053178,59,True,True,True,False,55.72143360918168,0.0017271693652635897,10,1000,44,full
0.001,8,-1.2143869995284213,61,True,True,True,False,55.73531163338085,0.0017282091748747578,10,1000,44,full
0.001,9,-1.2143869968210912,61,True,True,True,False,55.73514113569586,0.001728196385210436,10,1000,44,full
0.0001,0,-1.2143869976441368,67,True,True,True,False,55.735193204953255,0.0017282002906666067,10,1000,44,full
0.0001,1,-1.214387001606356,63,True,True,True,False,55.73544098795664,0.0017282188793800832,10,1000,44,full
0.0001,2,-1.2143869964087142,59,True,True,True,False,55.7351149313962,0.001728194416506498,10,1000,44,full
0.0001,3,-1.2103975931845672,44,True,True,True,False,42.62983570510015,0.0012254431620940555,10,1000,44,full
0.0001,4,-1.2143868990518092,39,True,True,True,False,55.7225035090812,0.001727254437718002,10,1000,44,full
0.0001,5,-1.2143869967421501,63,True,True,True,False,55.735136142518606,0.0017281960118262988,10,1000,44,full
0.0001,6,-1.2143869982659878,61,True,True,True,False,55.7352324285418,0.0017282032348244674,10,1000,44,full
0.0001,7,-1.214386897566316,59,True,True,True,False,55.72146365721496,0.0017271716142790493,10,1000,44,full
0.0001,8,-1.2143869995810108,61,True,True,True,False,55.735314923410286,0.001728209421677292,10,1000,44,full
0.0001,9,-1.2143869968050727,61,True,True,True,False,55.73514012040669,0.0017281963090511312,10,1000,44,full
0.01,0,-1.2561476383341852,69,True,True,True,False,40.689944415399516,0.0012373661364968175,10,1000,45,full
0.01,1,-1.266639724688976,64,True,True,True,False,56.163163469675794,0.0017047650046895105,10,1000,45,full
0.01,2,-1.2561474614975456,77,True,True,True,True,40.66157171088948,0.0012366870913602733,10,1000,45,full
0.01,3,-1.2666397293014755,63,True,True,True,False,56.16352123063436,0.0017047834392607943,10,1000,45,full
0.01,4,-1.2666397254815107,67,True,True,True,False,56.16322549328805,0.0017047681996367962,10,1000,45,full
0.01,5,-1.266639725122159,68,True,True,True,False,56.16319738588915,0.0017047667512530811,10,1000,45,full
0.01,6,-1.2561474616438817,76,True,True,True,False,40.661458175246736,0.0012366843764495463,10,1000,45,full
0.01,7,-1.2666397294014082,61,True,True,True,False,56.163529166961546,0.0017047838569498694,10,1000,45,full
0.01,8,-1.2666397293195046,65,True,True,True,False,56.16352266982604,0.0017047835152256647,10,1000,45,full
0.01,9,-1.2666396247445855,83,True,True,True,False,56.14740605938789,0.00170395455139827,10,1000,45,full
0.001,0,-1.2561476392750708,69,True,True,True,False,40.6900128022932,0.0012373677746494918,10,1000,45,full
0.001,1,-1.2666397315623608,63,True,True,True,False,56.16369388366174,0.001704792341527651,10,1000,45,full
0.001,2,-1.2561474616317996,77,True,True,True,False,40.66146739866968,0.0012366845970730284,10,1000,45,full
0.001,3,-1.2666397293499092,63,True,True,True,False,56.163524949075814,0.0017047836310154095,10,1000,45,full
0.001,4,-1.2666397254660196,67,True,True,True,False,56.163224282114086,0.0017047681372185086,10,1000,45,full
0.001,5,-1.2666397250425647,68,True,True,True,False,56.163191152142375,0.0017047664299979302,10,1000,45,full
0.001,6,-1.256147461522162,76,True,True,True,False,40.661552191164574,0.0012366866245329706,10,1000,45,full
0.001,7,-1.2666397303894694,61,True,True,True,False,56.163604748019154,0.0017047877519448292,10,1000,45,full
