N,T,seed,total_obs,cov_type_used,min_covar_used,n_restarts_succeeded,n_restarts_attempted,converged,n_iter_full,tried_fallback,ll_per_obs_full,max_condition_number,min_eigenvalue,state_collapse,reliable,sufficiency_warning,ari_full,accuracy_full,unstable_recall_full,diag_fit_failed,ari_diag,accuracy_diag,ll_per_obs_diag,diag_bic_failed,bic_opt_k_diag,bic_opt_k_full
20,2000,43,40000,full,0.01,30,30,True,85,False,-1.252608999821694,38.36004388637816,0.0013542747533319525,False,True,False,0.3450302444854178,0.66125,0.9999999999999999,False,0.33966172791809496,0.6424,-1.8340572306758327,False,7.0,7
20,2000,44,40000,full,0.001,30,30,True,67,False,-1.2833936961793266,50.639913972927864,0.0019800047667782976,False,True,False,0.3566202515107595,0.61825,0.998241647827179,False,0.34007178579360897,0.6426,-1.8500390923116363,False,8.0,8
20,2000,45,40000,full,0.01,30,30,True,77,False,-1.2725323747881925,38.60960580901455,0.0013354431271775536,False,True,False,0.3441780360944512,0.66005,0.9999999999999999,False,0.3391617289563959,0.643225,-1.848675398762754,False,8.0,8
20,2000,46,40000,full,0.01,30,30,True,160,False,-1.2930395790819167,38.597099652183694,0.0013402010158982795,False,True,False,0.3446423389626877,0.661125,0.9999999999999999,False,0.33884626582703065,0.643175,-1.8652849280868358,False,7.0,8
20,2000,47,40000,full,0.01,30,30,True,85,False,-1.2762531290715728,38.64223507462632,0.001311792691126763,False,True,False,0.34350052406491083,0.6602,0.9999999999999999,False,0.3380093237050077,0.6412,-1.854081587043593,False,8.0,8
20,2000,48,40000,full,0.0001,30,30,True,73,False,-1.2890199682553358,38.03967676195374,0.0012999772863309194,False,True,False,0.34501336434309077,0.659775,0.9999999999999999,False,0.33920853538179685,0.641275,-1.8656711341134626,False,8.0,8
20,2000,49,40000,full,0.001,30,30,True,80,False,-1.274708966457086,38.18166817786426,0.001300752525891278,False,True,False,0.3437728059316138,0.658925,0.9999999999999999,False,0.3368610635717374,0.637875,-1.8550186142338352,False,8.0,8
20,2000,50,40000,full,0.001,30,30,True,55,False,-1.2783794446404213,38.68066768724343,0.001281115645863995,False,True,False,0.34383750130303065,0.657825,0.9999999999999999,False,0.3371846884225977,0.636875,-1.8618730299925053,False,8.0,8
20,2000,51,40000,full,0.01,30,30,True,79,False,-1.2773048322895217,38.56864334792849,0.0012804820371013171,False,True,False,0.34274935323360617,0.657,0.9999999999999999,False,0.33621810462161866,0.63595,-1.8592921926112347,False,8.0,8
20,5000,42,100000,full,0.01,30,30,True,66,False,-1.2778345450365847,50.24366393461464,0.001976676300884524,False,True,False,0.3561059085913857,0.61409,0.9980956199258294,False,0.3381545743804803,0.64138,-1.8459803227715974,False,8.0,8
20,5000,43,100000,full,0.0001,30,30,True,80,False,-1.266787347149882,37.63093643021755,0.001351788002686183,False,True,False,0.34610170294858816,0.66113,1.0,False,0.33920866045921577,0.64194,-1.845636832634911,False,8.0,7
20,5000,44,100000,full,0.0001,30,30,True,83,False,-1.272200169736881,37.394460414922435,0.0013505773454178802,False,True,False,0.3460002936105969,0.66102,1.0,False,0.33947907584381487,0.64255,-1.8489626395348262,False,8.0,7
20,5000,45,100000,full,0.0001,30,30,True,84,False,-1.2754830859676847,50.756369589039366,0.001948781147846725,False,True,False,0.3560231580853455,0.61466,0.9981469424550509,False,0.33923917992976027,0.64279,-1.8410793928172702,False,7.0,7
20,5000,46,100000,full,0.001,30,30,True,88,False,-1.2714142659927505,37.414524836388004,0.0013530860759102476,False,True,False,0.3452621179048925,0.66094,1.0,False,0.3374011868025827,0.64213,-1.8489589620912354,False,8.0,8
20,5000,47,100000,full,0.0001,30,30,True,86,False,-1.274002747383095,37.55194649648534,0.0013382193555324547,False,True,False,0.3453834154016889,0.6606,1.0,False,0.3381336577031982,0.6422,-1.8527016972055643,False,8.0,8
20,5000,48,100000,full,0.001,30,30,True,63,False,-1.2925600935563828,50.177937921364595,0.001954715470914108,False,True,False,0.3568591904129921,0.61449,0.998110016910375,False,0.3389833921128355,0.64284,-1.8590004590159421,False,8.0,8
